"040df81","ivanfermena","Wed, 9 May 2018 09:36:27 +0200","Correccion de problemas en el codigo de presentacion.",	 23 files changed, 93 insertions(+), 98 deletions(-)	
"6392995","albertopastormr","Wed, 9 May 2018 09:25:33 +0200","update",	 3 files changed, 262 insertions(+), 211 deletions(-)	
"36ffe20","Ruben Garcia Mateos","Tue, 8 May 2018 22:17:37 +0200","Todos Drop Cascada implementados",	 7 files changed, 302 insertions(+), 230 deletions(-)	
"73d56df","albertopastormr","Tue, 8 May 2018 18:35:24 +0200","corregidas reglas negocio IDs validos; tests siguen funcionales",	 8 files changed, 281 insertions(+), 280 deletions(-)	
"3748c1e","Ruben Garcia Mateos","Mon, 7 May 2018 20:27:21 +0200","COMENTARIO",	 2 files changed, 7 insertions(+), 4 deletions(-)	
"26bea92","Ruben Garcia Mateos","Mon, 7 May 2018 20:25:21 +0200","cambios nomenclatura",	 2 files changed, 15 insertions(+), 15 deletions(-)	
"900c859","Ruben Garcia Mateos","Mon, 7 May 2018 20:21:53 +0200","Drop cascada -negocio Pabellon",	 2 files changed, 164 insertions(+), 125 deletions(-)	
"65b6c1a","Pablo Lopez Veleiro","Sun, 6 May 2018 20:22:21 +0200","un unico return y simplificacion codigo",	 6 files changed, 325 insertions(+), 394 deletions(-)	
"bc4aa7d","ivanfermena","Sat, 5 May 2018 15:36:14 +0200","Cambio menor en las tareas. Commit grande en IBM.",	 1 file changed, 6 insertions(+), 7 deletions(-)	
"9cb9ebb","MarcoAdinolfi","Fri, 4 May 2018 17:35:39 +0200","tareas para proxima semana",	 1 file changed, 12 insertions(+)	
"696490d","albertopastormr","Fri, 4 May 2018 17:02:18 +0200","corregidos DAOs por implementar regla de negocio drop cascada",	 7 files changed, 337 insertions(+), 415 deletions(-)	
"677bbd5","Pablo Lopez Veleiro","Wed, 2 May 2018 20:13:00 +0200","Simplificar codigo modify ASParticipante",	 3 files changed, 355 insertions(+), 305 deletions(-)	
"2893866","ivanfermena","Wed, 2 May 2018 19:22:18 +0200","Refactorizacion de de todo el codigo de presentacion. Ya esta acabado para realizar secuenciales.",	 17 files changed, 604 insertions(+), 1758 deletions(-)	
"3704068","ivanfermena","Tue, 1 May 2018 12:30:11 +0200","Refactorizando el codigo de Presentacion",	 9 files changed, 246 insertions(+), 916 deletions(-)	
"3f1d12d","ivanfermena","Mon, 30 Apr 2018 23:58:33 +0200","Update README.md",	 1 file changed, 18 insertions(+), 2 deletions(-)	
"8702060","Alberto Pastor Moreno","Mon, 30 Apr 2018 15:21:02 +0200","Update README.md",	 1 file changed, 3 insertions(+), 2 deletions(-)	
"febfad6","albertopastormr","Sat, 28 Apr 2018 23:49:34 +0200","corregidos tests Negocio, Negocio finalizado",	 8 files changed, 414 insertions(+), 298 deletions(-)	
"4cef728","Ruben Garcia Mateos","Fri, 27 Apr 2018 18:41:09 +0200","Cambios en todos los modulos",	 7 files changed, 157 insertions(+), 116 deletions(-)	
"0915b3b","Ruben Garcia Mateos","Fri, 27 Apr 2018 18:24:56 +0200","Terminados test Participacion y añadidos los que faltaban de show",	 2 files changed, 100 insertions(+), 70 deletions(-)	
"f745a19","Ruben Garcia Mateos","Fri, 27 Apr 2018 18:12:12 +0200","subidos test participacion completos y refactorizados",	 2 files changed, 101 insertions(+), 165 deletions(-)	
"1434066","Ruben Garcia Mateos","Fri, 27 Apr 2018 17:53:32 +0200","Refactorizado Metodos create y creados transfer staticos",	 2 files changed, 69 insertions(+), 89 deletions(-)	
"611281e","Ruben Garcia Mateos","Fri, 27 Apr 2018 17:42:05 +0200","Comienzo participacion test",	 2 files changed, 199 insertions(+), 223 deletions(-)	
"df0405b","albertopastormr","Fri, 27 Apr 2018 17:16:49 +0200","agregadas guias de assert en tests negocio",	 2 files changed, 269 insertions(+), 221 deletions(-)	
"a809822","Ruben Garcia Mateos","Fri, 27 Apr 2018 02:29:32 +0200","Stand test refacorizados y completos",	 3 files changed, 167 insertions(+), 175 deletions(-)	
"847fbd6","Ruben Garcia Mateos","Fri, 27 Apr 2018 00:48:43 +0200","Refactorizacion y cambios completo en asignacion",	 2 files changed, 52 insertions(+), 131 deletions(-)	
"abfd26e","Ruben Garcia Mateos","Fri, 27 Apr 2018 00:35:57 +0200","Mas cambios",	 2 files changed, 89 insertions(+), 139 deletions(-)	
